map, turns, p1score, p1_dest_list, p2score, p2_dest_list
usa,70,91,105
usa,62,91,54
usa,57,97,53
usa,70,98,56
usa,76,108,80
usa,74,132,83
usa,62,75,83
usa,61,105,61
usa,76,71,92
usa,67,115,66
usa,70,-41,101
usa,53,115,12
usa,78,140,84
usa,63,101,75
usa,62,77,59
usa,61,55,132
usa,64,108,55
usa,64,114,46
usa,68,80,126
usa,59,93,87
usa,69,128,100
usa,74,7,82
usa,65,81,51
usa,62,127,118
usa,67,64,95
usa,69,112,88
usa,59,113,37
usa,62,109,54
usa,80,128,55
usa,66,115,74
usa,73,113,47
usa,65,103,35
usa,65,121,74
usa,64,128,54
usa,65,106,82
usa,58,102,109
usa,68,102,32
usa,64,129,77
usa,80,133,109
usa,66,115,89
usa,62,109,46
usa,62,102,35
usa,71,67,95
usa,66,137,68
usa,60,96,37
usa,67,128,78
usa,58,97,36
usa,61,117,76
usa,70,124,78
usa,65,104,109
usa,64,130,74
usa,59,103,55
usa,64,105,44
usa,57,97,59
usa,65,107,73
usa,55,109,68
usa,69,107,91
usa,60,140,49
usa,72,136,80
usa,61,96,104
usa,69,132,69
usa,71,117,85
usa,63,88,81
usa,70,144,75
usa,62,118,118
usa,72,125,84
usa,67,13,102
usa,63,87,88
usa,71,134,48
usa,75,128,53
usa,62,117,36
usa,68,139,47
usa,66,102,80
usa,72,40,123
usa,66,115,106
usa,58,93,20
usa,75,110,47
usa,67,36,111
usa,63,97,76
usa,74,115,89
usa,67,137,83
usa,69,157,81
usa,71,103,73
usa,65,88,102
usa,59,33,103
usa,74,138,74
usa,61,98,35
usa,59,138,76
usa,60,83,71
usa,66,100,88
usa,64,126,31
usa,68,67,81
usa,67,128,55
usa,71,52,140
usa,66,103,120
usa,67,9,91
usa,56,115,-1
usa,73,75,91
usa,63,86,71
usa,73,20,103
usa,73,100,99
usa,69,126,51
usa,75,145,60
usa,72,112,83
usa,75,130,108
usa,79,123,91
usa,67,84,62
usa,59,129,77
usa,74,111,90
usa,71,107,61
usa,57,126,75
usa,68,119,99
usa,73,62,65
usa,80,76,132
usa,72,115,118
usa,62,114,104
usa,81,125,123
usa,67,133,9
