map, turns, p1score, p1_dest_list, p1_bonus_points, p2score, p2_dest_list, p2_bonus_points
nordiccountries,75,109,15,37,0
nordiccountries,59,0,0,69,15
nordiccountries,61,117,15,69,15
nordiccountries,71,114,15,69,15
nordiccountries,68,96,0,78,15
nordiccountries,64,10,0,80,15
nordiccountries,66,71,15,2,0
nordiccountries,69,109,15,42,15
nordiccountries,73,107,15,53,0
nordiccountries,68,70,15,63,15
nordiccountries,92,3,0,57,15
nordiccountries,71,102,0,120,15
nordiccountries,68,14,0,112,15
nordiccountries,56,106,15,18,0
nordiccountries,72,24,0,76,15
nordiccountries,55,37,15,3,0
nordiccountries,66,81,15,64,0
nordiccountries,65,92,0,74,15
nordiccountries,73,103,0,69,15
nordiccountries,62,118,15,35,0
nordiccountries,61,15,0,95,15
nordiccountries,62,109,0,85,15
nordiccountries,61,95,15,66,0
nordiccountries,62,97,15,15,0
nordiccountries,66,84,15,-13,0
nordiccountries,62,105,0,96,15
nordiccountries,60,20,0,99,15
nordiccountries,79,110,0,81,15
nordiccountries,72,41,0,106,15
nordiccountries,65,118,15,73,0
nordiccountries,67,18,15,4,0
nordiccountries,63,109,15,18,0
nordiccountries,87,120,15,29,0
nordiccountries,67,122,15,39,0
nordiccountries,55,88,15,39,15
nordiccountries,75,-4,15,3,15
nordiccountries,56,120,15,68,15
nordiccountries,70,94,15,-22,0
nordiccountries,62,12,0,23,15
nordiccountries,59,117,15,48,0
nordiccountries,62,65,15,8,0
nordiccountries,56,118,15,22,0
nordiccountries,63,107,15,17,0
nordiccountries,68,38,15,15,0
nordiccountries,82,21,0,112,15
nordiccountries,59,66,0,91,15
nordiccountries,55,102,15,-13,0
nordiccountries,71,112,15,36,15
nordiccountries,56,113,15,22,0
nordiccountries,68,102,15,-9,0
nordiccountries,65,16,0,91,15
nordiccountries,66,115,0,90,15
nordiccountries,65,19,0,50,15
nordiccountries,70,102,15,54,15
nordiccountries,76,112,15,72,15
nordiccountries,54,101,15,31,15
nordiccountries,59,96,15,78,15
nordiccountries,55,83,15,15,0
nordiccountries,75,108,0,103,15
nordiccountries,52,100,15,46,15
nordiccountries,76,95,15,29,0
nordiccountries,64,97,15,-3,0
nordiccountries,55,83,0,110,15
nordiccountries,65,44,0,47,15
nordiccountries,66,39,0,54,15
nordiccountries,76,46,0,94,15
nordiccountries,70,1,15,7,15
nordiccountries,62,97,15,5,0
nordiccountries,61,106,0,66,15
nordiccountries,61,41,0,94,15
nordiccountries,75,33,0,79,15
nordiccountries,74,48,15,-16,0
nordiccountries,61,-15,0,102,15
nordiccountries,65,121,15,82,15
nordiccountries,72,106,15,77,15
nordiccountries,74,43,0,68,15
nordiccountries,67,103,15,-24,0
nordiccountries,55,97,15,-2,0
nordiccountries,61,95,15,-34,0
nordiccountries,55,81,15,3,0
nordiccountries,63,109,15,8,0
nordiccountries,59,119,15,36,15
nordiccountries,68,90,0,98,15
nordiccountries,61,12,0,100,15
nordiccountries,59,107,15,-21,0
nordiccountries,63,137,15,20,0
nordiccountries,61,27,15,45,15
nordiccountries,56,104,15,29,0
nordiccountries,69,33,0,113,15
nordiccountries,62,-26,0,106,15
nordiccountries,79,116,15,67,15
nordiccountries,69,103,15,13,15
nordiccountries,65,17,0,65,15
nordiccountries,61,115,15,35,0
nordiccountries,61,49,0,110,15
nordiccountries,60,131,15,28,0
nordiccountries,61,118,15,8,0
nordiccountries,58,71,15,56,15
nordiccountries,72,108,15,32,15
nordiccountries,51,59,0,42,15
nordiccountries,59,11,0,88,15
